"","id_no","Range_size","binomial"
"3462","14601",688578676857.612,"Neotomys ebriosus"
"3463","14602",455193269554.656,"Neotragus pygmaeus"
"3465","14603",802403340648.131,"Neotragus batesi"
"3467","14604",1370859076800.76,"Nesotragus moschatus"
"3472","14660",41877234735.5179,"Nesokia bunnii"
"3473","14661",3594582011128.16,"Nesokia indica"
"3474","14662",14526035100.7282,"Nesolagus netscheri"
"3476","14671",106783166148.265,"Nesomys rufus"
"3477","14699281",1361192834.26017,"Callicebus caquetensis"
"3478","14707",637017476.048329,"Nesoryzomys fernandinae"
"3479","14709",573679588.066731,"Nesoryzomys swarthi"
"3480","14740",65828270575.3009,"Neusticomys monticolus"
"3481","14741",4928133324.05618,"Neusticomys mussoi"
"3482","14742",70806778627.5376,"Neusticomys oyapocki"
"3483","14743",14428878881.6531,"Neusticomys peruviensis"
"3484","14744",109413471576.751,"Neusticomys venezuelae"
"3485","14812",188299343518.518,"Niviventer andersoni"
"3486","14813",32329195725.3334,"Niviventer brahma"
"3487","14814",3971381007097.05,"Niviventer confucianus"
"3488","14815",28365688025.6232,"Niviventer coninga"
"3489","14816",1248372600570.34,"Niviventer cremoriventer"
"3501","14817",3736757030.38065,"Niviventer culturatus"
"3502","14818",183562364311.874,"Niviventer eha"
"3503","14819",150624336817.989,"Niviventer excelsior"
"3504","14820",4720378419245.32,"Niviventer fulvescens"
"3506","14821",2929084652.65534,"Niviventer hinpoon"
"3507","14822",632381326769.99,"Niviventer langbianis"
"3508","14823",7576821095.34795,"Niviventer lepturus"
"3509","14824",252993530551.065,"Niviventer niviventer"
"3510","14825",250763403288.943,"Niviventer rapit"
"3511","14826",266057264325.919,"Niviventer tenaster"
"3513","14829",12855674662238,"Noctilio albiventris"
"3514","14830",14625648175796.8,"Noctilio leporinus"
"3523","14854",267121195709.398,"Notiomys edwardsii"
"3524","14862",2410568712.92117,"Notomys aquilo"
"3526","14863",105460257620.039,"Notomys fuscus"
"3527","14867",2927727840497.17,"Notomys alexis"
"3528","14868",83793865311.4895,"Notomys cervinus"
"3529","14869",646728270437.572,"Notomys mitchellii"
"3530","14876",19271238446.0766,"Notopteris macdonaldi"
"3539","14878",451197152125.074,"Notoryctes caurinus"
"3540","14879",921390418638.876,"Notoryctes typhlops"
"3541","14888655",1466124727506.36,"Thylamys pallidior"
"3542","14914835",314117635.32212,"Isothrix barbarabrownae"
"3543","14918",2917523426044.98,"Nyctalus lasiopterus"
"3547","14919",5171402538041.87,"Nyctalus leisleri"
"3554","14920",7210075744044.34,"Nyctalus noctula"
"3560","14921",695997663644.047,"Nyctalus aviator"
"3561","14922",2237333258.14454,"Nyctalus azoreum"
"3568","14923",210275728143.038,"Nyctalus montanus"
"3569","14925",11549522824510,"Nyctereutes procyonoides"
"3578","14926",3980019712521.41,"Nycteris arge"
"3580","14927",1789430240228.4,"Nycteris aurita"
"3581","14928",1861041290272.05,"Nycteris gambiensis"
"3583","14929",4404362030178.76,"Nycteris grandis"
"3586","14930",11506141156183.1,"Nycteris hispida"
"3589","14931",2619651292735.32,"Nycteris intermedia"
"3590","14932",135481034235.326,"Nycteris javanica"
"3594","14933",12089657364369.6,"Nycteris macrotis"
"3596","14934",2096958785737.79,"Nycteris major"
"3597","14935",2938128294618.54,"Nycteris nana"
"3598","14936",14427383564991.1,"Nycteris thebaica"
"3602","14937",1394635243648.66,"Nycteris tragata"
"3606","14939",620419003772.945,"Nycteris woodi"
"3607","14941",481855069844.369,"Nycticebus pygmaeus"
"3609","14942",4980250105601.01,"Scotorepens balstoni"
"3610","14943",4064788846240.85,"Scotorepens greyii"
"3611","14944",2883260060918.31,"Nycticeius humeralis"
"3612","14945",264662659574.856,"Scotorepens orion"
"3614","14946",301736576150.535,"Scoteanax rueppellii"
"3616","14947",702866897054.232,"Scotorepens sanborni"
"3622","14953",19216053721.9689,"Nyctimene rabori"
"3628","14954",621332739512.518,"Nyctimene aello"
"3632","14955",4143079692.86115,"Nyctimene cyclotis"
"3634","14956",17384648801.8724,"Nyctimene draconilla"
"3636","14958",7178487041.18168,"Nyctimene malaitensis"
"3638","14959",7019825438.61298,"Nyctimene masalai"
"3639","14960",25954601860.8731,"Nyctimene minutus"
"3641","14961",501375717.298486,"Nyctimene sanctacrucis"
"3642","14962",748029694322.919,"Nyctimene albiventer"
"3670","14963",239455094265.688,"Nyctimene cephalotes"
"3680","14964",212379566887.781,"Nyctimene certans"
"3682","14965",70315077333.2565,"Nyctimene major"
"3716","14966",351781040227.217,"Nyctimene robinsoni"
"3722","14967",70176730301.5941,"Nyctimene vizcaccia"
"3734","14993",2631897370586.66,"Nyctinomops aurispinosus"
"3735","14994",1251911460026.17,"Nyctinomops femorosaccus"
"3736","14995",13101230903859.1,"Nyctinomops laticaudatus"
"3740","14996",15743813370419,"Nyctinomops macrotis"
"3744","14999",673131859410.722,"Nyctomys sumichrasti"
"3745","15000",704005751063.835,"Nyctophilus arnhemensis"
"3750","15001",1170332308714.98,"Nyctophilus bifax"
"3757","15003",7272506249343.51,"Nyctophilus geoffroyi"
"3760","15004",959247791803.522,"Nyctophilus gouldi"
"3762","15005",1252684545.55977,"Nyctophilus heran"
"3763","15006",15001727.8973721,"Nyctophilus howensis"
"3764","15007",2020801391.02508,"Nyctophilus microdon"
"3765","15008",166520159149.006,"Nyctophilus microtis"
"3768","15009",48863225516.1968,"Nyctophilus sherrini"
"3769","15011",397742811440.689,"Nyctophilus walkeri"
"3770","15046",4849151620.67452,"Ochotona koslowi"
"3771","15048",38532780306.2603,"Ochotona forresti"
"3772","15050",32973374177.7238,"Ochotona iliensis"
"3773","15051",491704996336.508,"Ochotona nubrica"
"3774","15052",1530161496978.74,"Ochotona pusilla"
"3775","15053",328463409518.416,"Ochotona thomasi"
"3776","15087",120968713193.593,"Octodon bridgesi"
"3777","15088",63501347468.0068,"Octodon degus"
"3778","15089",25576987268.4904,"Octodon lunatus"
"3779","15090",53040507.2148221,"Octodon pacificus"
"3780","15091",487312914511.575,"Octodontomys gliroides"
"3781","15093",118944764420.359,"Octomys mimax"
"3782","15131",8594483011774.92,"Oecomys bicolor"
"3783","15132",6482895364.41601,"Oecomys cleberi"
"3784","15134",42577443832.6788,"Oecomys flavicans"
"3785","15135",651947902522.561,"Oecomys mamorae"
"3787","15136",392843513475.308,"Oecomys paricola"
"3788","15137",117475217916.194,"Oecomys phaeotis"
"3789","15138",515092564547.702,"Oecomys rex"
"3791","15139",3727054378657.29,"Oecomys roberti"
"3792","15140",1186681612362.31,"Oecomys rutilus"
"3793","15141",380157556065.277,"Oecomys speciosus"
"3794","15142",1547918840556.22,"Oecomys superans"
"3796","15143",4830186910800.05,"Oecomys trinitatis"
"3798","15164",4172138305320.19,"Oenomys hypoxanthus"
"3799","15165",159443686201.488,"Oenomys ornatus"
"3800","15188",264220212685.383,"Okapia johnstoni"
"3801","15189",5976596201.61394,"Olallamys albicauda"
"3802","15190",5390244932.66752,"Olallamys edax"
"3803","15241",260991295366.931,"Oligoryzomys andinus"
"3804","15242",96928401378.7468,"Oligoryzomys arenalis"
"3805","15243",760935694451.697,"Oligoryzomys chacoensis"
"3806","15244",371852800897.295,"Oligoryzomys delticola"
"3807","15245",661051394886.11,"Oligoryzomys destructor"
"3808","15246",2260961429435.97,"Oligoryzomys eliurus"
"3809","15247",3149813567575.93,"Oligoryzomys flavescens"
"3810","15248",2895296891327.77,"Oligoryzomys fulvescens"
"3811","15249",52670169864.9067,"Oligoryzomys griseolus"
"3812","15250",629006740547.35,"Oligoryzomys longicaudatus"
"3813","15251",135925087737.894,"Oligoryzomys magellanicus"
"3814","15252",2722586197539.77,"Oligoryzomys microtis"
"3815","15253",3214708392736.13,"Oligoryzomys nigripes"
"3816","15254",9901690503.81081,"Oligoryzomys vegetus"
"3817","15309",4786788649989.58,"Leopardus colocolo"
"3818","15310",3529671604784.2,"Leopardus geoffroyi"
"3819","15311",317792209873.401,"Leopardus guigna"
"3821","15324",35095076458756.8,"Ondatra zibethicus"
"3823","15330",4205866321.19368,"Onychogalea fraenata"
"3827","15337",686486362340.285,"Onychomys arenicola"
"3828","15338",3841451167684.3,"Onychomys leucogaster"
"3829","15339",767649883974.453,"Onychomys torridus"
"3830","15452",612427861162.026,"Leopardus jacobita"
"3831","15485",5220689596559.17,"Oreotragus oreotragus"
"3834","1550",5752726981076.22,"Anomalurus derbianus"
"3835","1551",242873006515.783,"Anomalurus pelii"
"3836","1553",573139903460.054,"Anomalurus pusillus"
"3837","15544",5662469735.77678,"Orthogeomys cavator"
"3838","15546",270869900.303195,"Orthogeomys cuniculus"
"3839","15548",1191900138.77223,"Orthogeomys heterodus"
"3840","15549",397264661978.095,"Orthogeomys hispidus"
"3841","15550",9589417604.62374,"Heterogeomys dariensis ssp. thaeleri"
"3842","15568",2528478242993.96,"Oryx dammah"
"3843","15569",20909945221.9544,"Oryx leucoryx"
"3844","15571",1088666966545.04,"Oryx beisa"
"3847","15573",1766026919092.01,"Oryx gazella"
"3848","15584",398224706337.961,"Nephelomys albigularis"
"3849","15585",838400128839.594,"Handleyomys alfaroi"
"3850","15586",14415635017.2674,"Nephelomys auriventer"
"3851","15587",11450280994.3523,"Oreoryzomys balneator"
"3852","15588",271356277567.153,"Transandinomys bolivaris"
"3853","1559",594231180.533112,"Anonymomys mindorensis"
"3854","15591",36270899296.9606,"Handleyomys chapmani"
"3855","15592",1491857121145,"Oryzomys couesi"
"3857","15593",9590997683.31372,"Nephelomys devius"
"3858","15594",1125603331.70429,"Oryzomys dimidiatus"
"3859","15595",572738531.814521,"Aegialomys galapagoensis"
"3861","15597",4422735552.97271,"Mindomys hammondi"
"3862","15598",9776979789.06634,"Handleyomys intectus"
"3863","15600",67023196926.7794,"Nephelomys keaysi"
"3864","15602",122788959997.303,"Euryoryzomys lamia"
"3865","15603",64154907615.1103,"Euryoryzomys legatus"
"3866","15604",157127895791.752,"Nephelomys levipes"
"3867","15605",4294868369799.62,"Euryoryzomys macconnelli"
"3868","15606",138450878406.183,"Handleyomys melanotis"
"3869","15607",1303446660136.08,"Euryoryzomys nitidus"
"3870","15608",83828824392.4698,"Hylaeamys oniscus"
"3871","15609",14290291180.3917,"Eremoryzomys polius"
"3872","15611",8208755159.1341,"Handleyomys rhabdops"
"3874","15612",548404320563.963,"Handleyomys rostratus"
"3875","15613",108657117502.924,"Handleyomys saturatior"
"3876","15614",1461038816284.28,"Cerradomys subflavus"
"3877","15615",510964246865.053,"Transandinomys talamancae"
"3878","15616",258878321093.441,"Aegialomys xanthaeolus"
"3879","15617",5299586675458.56,"Hylaeamys yunganus"
"3880","15628",223601457153.828,"Genetta piscivora"
"3881","15629",179803687408.933,"Osgoodomys banderanus"
"3882","1564",6989745842.19043,"Anotomys leander"
"3883","15640",8130922007064.3,"Otocolobus manul"
"3886","15642",4957026928270.02,"Otocyon megalotis"
"3888","15643",5610182276073.31,"Otolemur crassicaudatus"
"3890","15644",526936803950.732,"Otolemur garnettii"
"3895","15645",20026646581.4009,"Otomops formosus"
"3896","15646",14508462957.7052,"Otomops wroughtoni"
"3900","15647",121012856.379932,"Otomops johnstonei"
"3901","15648",5186379584897.5,"Otomops martiensseni"
"3902","15649",222838596.749029,"Otomops papuensis"
"3903","15650",4111573.97269076,"Otomops secundus"
"3904","15651",71608938883.8879,"Otomys anchietae"
"3905","15652",595015154368.763,"Otomys angoniensis"
"3906","15653",80971542528.8526,"Otomys denti"
"3907","15655",86794598040.0595,"Otomys laminatus"
"3908","15657",10690743582.0784,"Otomys occidentalis"
"3909","15659",156902410626.77,"Otomys sloggetti"
"3910","1566",757500042456.767,"Anoura cultrata"
"3911","15660",143756977666.223,"Otomys tropicalis"
"3912","15661",396688574128.051,"Otomys typus"
"3913","15662",374301320462.024,"Otomys unisulcatus"
"3914","15664",127970466360.978,"Otonyctomys hatti"
"3915","15665",105071321562.859,"Otopteropus cartilagonodus"
"3916","15666",491821324645.122,"Ototylomys phyllotis"
"3917","1568",710044889277.794,"Anoura latidens"
"3918","1569",84559691689.4077,"Anoura luismanueli"
"3919","15730",7497158105370.23,"Ourebia ourebi"
"3922","15733",3583607690746.78,"Ovis ammon"
"3936","15735",538062206143.697,"Ovis canadensis"
"3946","15739",2228338424245.83,"Ovis orientalis"
"3966","15740",1369345470575.24,"Ovis nivicola"
"3969","15783",457117792424.826,"Oxymycterus angularis"
"3970","15784",82738639463.4569,"Oxymycterus delator"
"3971","15785",437415767954.171,"Oxymycterus hispidus"
"3972","15786",4794717130.70303,"Oxymycterus hucucha"
"3973","15787",178456400339.086,"Brucepattersonius iheringi"
"3974","15788",360850754205.542,"Oxymycterus inca"
"3975","15789",558988935528.731,"Oxymycterus nasutus"
"3976","15791",842669390970.313,"Oxymycterus roberti"
"3977","15792",280709286363.151,"Oxymycterus rufus"
"3978","15793",34290912044.1932,"Oxymycterus hiska"
"3979","15803",468420532032.221,"Ozotoceros bezoarticus"
"3980","1581",2438408599997.49,"Antechinomys laniger"
"3981","1583",3599521609.33145,"Antechinus godmani"
"3982","1584",4393221028.79143,"Antechinus leo"
"3983","15865",1305337931853.1,"Pachyuromys duprasi"
"3984","1587",181135722960.451,"Murexia naso"
"3985","1589",143836687039.728,"Murexia habbema"
"3986","1590",163654965251.745,"Antechinus agilis"
"3987","1591",330752789943.524,"Murexia melanurus"
"3988","15917",878129542.836673,"Palawanomys furvus"
"3989","15932",415766359324.81,"Pan paniscus"
"3990","15933",2383632288252,"Pan troglodytes"
"3995","15951",3815050311868.76,"Panthera leo"
"4048","15953",9026158262853.03,"Panthera onca"
"4074","15954",34736611624656.6,"Panthera pardus"
"4102","15955",1350365885198.16,"Panthera tigris"
"4144","15967",1091078316455.66,"Pantholops hodgsonii"
"4145","15975",13936035966.3844,"Papagomys armandvillei"
"4146","16018",442077493326.713,"Papio papio"
"4147","16019",610339021199.691,"Papio hamadryas"
"4148","16022",3348700403612.95,"Papio ursinus"
"4150","16023",344322429.292745,"Pappogeomys bulleri ssp. alcorni"
"4151","16025",651602448534.881,"Cratogeomys castanops"
"4152","16026",41174407243.8789,"Cratogeomys fumosus"
"4153","16028",6421375978.83413,"Cratogeomys merriami"
"4154","16042",997721839.307848,"Paracrocidura graueri"
"4155","16043",25266590958.4315,"Paracrocidura maxima"
"4156","16074",386135515231.302,"Paradipus ctenodactylus"
"4157","16104",66739954357.3152,"Paradoxurus jerdoni"
"4158","16114",223146354936.075,"Parahydromys asper"
"4159","16121",586356286.945466,"Paraleptomys rufilatus"
"4160","16122",4686895035.49726,"Paraleptomys wilhelmina"
"4161","16138",2838734923.89401,"Parantechinus apicalis"
"4165","16174",781865558314.425,"Paranyctimene raptor"
"4167","1620",21294851823.6545,"Anthops ornatus"
"4172","16202",32146590010.1383,"Paraxerus vexillarius"
"4173","16203",259068847258.339,"Paraxerus alexandri"
"4174","16204",956025606431.98,"Paraxerus boehmi"
"4175","16205",2692245442374.5,"Paraxerus cepapi"
"4176","16206",10800336046.7656,"Paraxerus cooperi"
"4177","16207",666787981381.219,"Paraxerus flavovittis"
"4178","16208",12059083212.3604,"Paraxerus lucifer"
"4179","16209",547064702101.398,"Paraxerus ochraceus"
"4180","16210",1045560207127.08,"Paraxerus palliatus"
"4183","16211",1570567209522.4,"Paraxerus poensis"
"4184","16212",2218843540.20419,"Paraxerus vincenti"
"4185","16218",1389005700849.93,"Pardofelis marmorata"
"4186","16270",679427622020.207,"Parotomys brantsii"
"4187","16271",597770682492.477,"Parotomys littledalei"
"4188","16375",169337754275.056,"Paruromys dominator"
"4189","16426",748498366.119874,"Paulamys naso"
"4190","16458",419154664492.507,"Pectinator spekei"
"4191","16467",3817919880910.31,"Pedetes capensis"
"4192","16484",557077542006.304,"Pelea capreolus"
"4193","16506",28270455942.2185,"Pelomys hopkinsi"
"4194","16507",162932696.31576,"Pelomys isseli"
"4196","16508",656702214946.997,"Pelomys campanae"
"4197","16509",3495775468389.66,"Pelomys fallax"
"4198","16510",309824591201.657,"Pelomys minor"
"4199","16559",370201150.094973,"Pentalagus furnessi"
"4200","16563",1288201064019.66,"Penthetor lucasi"
"4203","16569",235894622.048128,"Perameles bougainville"
"4208","16572",31989708264.9373,"Perameles gunnii"
"4209","165924",28388862354.4803,"Elephantulus pilicaudus"
"4210","165925",597444632.457572,"Voalavo antsahabensis"
"4211","16631",11069531235.1309,"Perognathus alticola"
"4213","16633",122119518521.052,"Perognathus amplus"
"4214","16634",1542733953262.01,"Perognathus flavescens"
"4215","16635",1540957567147.6,"Perognathus flavus"
"4216","16636",520454391511.23,"Perognathus longimembris"
"4217","16637",693402514069.761,"Perognathus merriami"
"4218","16651",218569363925.606,"Peromyscus aztecus"
"4219","16652",2530151142864.46,"Peromyscus boylii"
"4221","16653",91188601.5680304,"Peromyscus bullatus"
"4222","16654",132623084590.101,"Peromyscus californicus"
"4223","16655",18098576.3996298,"Peromyscus caniceps"
"4224","16656",913321965724.295,"Peromyscus crinitus"
"4226","16657",8885243.36037624,"Peromyscus dickeyi"
"4227","16658",546382942681.975,"Peromyscus difficilis"
"4228","16659",1217901384935.43,"Peromyscus eremicus"
"4235","16660",39058946518.4433,"Peromyscus eva"
"4237","16661",22384392837.2057,"Peromyscus furvus"
"4238","16662",4204726738.44549,"Peromyscus grandis"
"4239","16663",598242301808.683,"Peromyscus gratus"
"4240","16664",935031093.624169,"Peromyscus guardia"
"4244","16665",17875066607.0906,"Peromyscus guatemalensis"
"4245","16666",42202305279.9388,"Peromyscus gymnotis"
"4246","16667",19804776915.0546,"Peromyscus hooperi"
"4247","16668",40493975.2506866,"Peromyscus interparietalis"
"4250","16669",5831351767615.88,"Peromyscus leucopus"
"4251","16670",160994639544.38,"Peromyscus levipes"
"4252","16671",415335209.392482,"Peromyscus madrensis"
"4256","16672",13030881656838.5,"Peromyscus maniculatus"
"4259","16673",127416795.813238,"Peromyscus mayensis"
"4260","16674",44159055999.9549,"Peromyscus megalops"
"4261","16675",98566041.4020877,"Peromyscus mekisturus"
"4262","16676",3456002152.88669,"Peromyscus melanocarpus"
"4263","16677",512462176774.653,"Peromyscus melanophrys"
"4264","16678",494800923163.824,"Peromyscus melanotis"
"4265","16679",3857543011.0825,"Peromyscus melanurus"
"4266","16680",197642762992.577,"Peromyscus merriami"
"4267","16681",367383466144.038,"Peromyscus mexicanus"
"4268","16682",576501020836.775,"Peromyscus nasutus"
"4269","16683",3900455258.38091,"Peromyscus ochraventer"
"4270","16684",832035553751.18,"Peromyscus pectoralis"
"4271","16685",66536096780.8987,"Peromyscus perfulvus"
"4272","16686",23780084644.9789,"Peromyscus polius"
"4273","16687",9120619.80429363,"Peromyscus pseudocrinitus"
"4274","16688",13588653.2186726,"Peromyscus sejugis"
"4276","16689",16224629244.1459,"Peromyscus simulus"
"4277","16690",27728364.6759522,"Peromyscus slevini"
"4278","16691",125505678381.385,"Peromyscus spicilegus"
"4279","16692",41201697.2017652,"Peromyscus stephani"
"4280","16693",26279328491.5477,"Peromyscus stirtoni"
"4281","16694",1452308012622.2,"Peromyscus truei"
"4282","16695",926406755.182287,"Peromyscus winkelmanni"
"4283","16696",137965811116.804,"Peromyscus yucatanicus"
"4284","16697",6012181293.07864,"Peromyscus zarhynchus"
"4285","16707",11925748721286,"Peropteryx kappleri"
"4286","16708",5089787566080.93,"Peropteryx leucoptera"
"4287","16709",12697128774666.5,"Peropteryx macrotis"
"4291","16710",31530634545.9418,"Peroryctes broadbenti"
"4292","16711",298144433906.443,"Peroryctes raffrayana"
"4294","16714",1169121264.03806,"Petaurillus emiliae"
"4296","16715",72509603744.5495,"Petaurillus hosei"
"4297","16716",8040560707.05653,"Petaurillus kinlochii"
"4298","16718",943227216330.109,"Petaurista alborufus"
"4299","16719",2490770402164.93,"Petaurista elegans"
"4307","16720",251379477989.025,"Petaurista leucogenys"
"4308","16721",142042640790.108,"Petaurista magnificus"
"4309","16722",44806357239.5069,"Petaurista nobilis"
"4311","16723",3195866921012.27,"Petaurista petaurista"
"4312","16724",3398887224568.32,"Petaurista philippensis"
"4313","16725",730211785080.84,"Petaurista xanthotis"
"4314","16726",92806455.7296906,"Petaurus abidi"
"4315","16727",3309373994.42292,"Petaurus gracilis"
"4316","16728",788588978740.619,"Petaurus norfolcensis"
"4318","16730",231711032060.866,"Petaurus australis"
"4319","16731",2761596510460.5,"Petaurus breviceps"
"4352","16732",2533471853.55304,"Petaurus biacensis"
"4354","16733",33685251583.794,"Petinomys crinitus"
"4358","16734",56586883672.6628,"Petinomys fuscocapillus"
"4359","16735",844696569990.666,"Petinomys genibarbis"
"4360","16736",187195789.451543,"Petinomys hageni"
"4362","16737",5106487424.74255,"Petinomys lugens"
"4365","16739",715360234691.375,"Petinomys setosus"
"4368","16740",114244836887.662,"Petinomys vordermanni"
"4369","16744",17334320111.6878,"Petrogale burbidgei"
"4374","16746",101649674097.244,"Petrogale penicillata"
"4375","16747",4210605164.29241,"Petrogale persephone"
"4377","16750",24922636401.9424,"Petrogale xanthopus"
"4380","16751",113472062789.456,"Petrogale lateralis"
"4393","16752",17580988320.8547,"Petrogale coenensis"
"4394","16753",16921711644.5296,"Petrogale sharmani"
"4395","1676",1950012854625.3,"Antidorcas marsupialis"
"4396","16761",82698687669.4317,"Petrogale concinna"
"4403","1677",2007736602827.8,"Antilocapra americana"
"4406","16776",372746386010.698,"Petromus typicus"
"4407","16777",38176290793.6126,"Petromyscus barbouri"
"4408","16778",497480528354.285,"Petromyscus collinus"
"4409","16779",186365063484.935,"Petromyscus monticularis"
"4410","16780",123751782564.424,"Petromyscus shortridgei"
"4411","16799",12285677681.1616,"Phaenomys ferrugineus"
"4412","1681",1754050801021.45,"Antilope cervicapra"
"4414","16846",886299716.500902,"Phalanger lullulae"
"4417","16847",456940116346.153,"Phalanger orientalis"
"4456","16850",88965087216.6115,"Phalanger vestitus"
"4457","16851",153144784.037706,"Phalanger matanim"
"4458","16852",2774760815.04044,"Phalanger rothschildi"
"4461","16853",198469046682.349,"Phalanger carmelitae"
"4462","16854",22280652964.6281,"Phalanger ornatus"
"4465","16855",197226979177.811,"Phalanger sericeus"
"4466","16856",616455780737.836,"Phalanger gymnotis"
"4472","16857",63331478253.1853,"Phalanger intercastellanus"
"4483","16858",150186533.284889,"Phalanger alexandrae"
"4484","16872",20936432209.208,"Phaner furcifer"
"4485","16873",1944200408.92831,"Phaner parienti"
"4486","16874",48585859086.6021,"Phaner pallescens"
"4487","16875",3279908551.23469,"Phaner electromontis"
"4490","16887",537257326.826484,"Pharotis imogene"
"4491","16888",46849833420.7163,"Phascogale calura"
"4492","16889",40381031465.1273,"Phascogale pirata"
"4495","16890",272010809938.634,"Phascogale tapoatafa"
"4496","16892",1102195117297.18,"Phascolarctos cinereus"
"4507","16893",82246536208.7521,"Phascolosorex doriae"
"4508","16894",174794951564.065,"Phascolosorex dorsalis"
"4509","16899",71603455123.4817,"Myodes andersoni"
"4510","16900",118619049925.78,"Myodes smithii"
"4514","16971364",903113899.408688,"Microcebus margotmarshae"
"4515","16971390",150699257.213195,"Microcebus arnholdi"
"4516","16971425",671588370.713292,"Microcebus macarthurii"
"4517","16971461",20683630.1332707,"Microcebus gerpi"
"4518","16971489",282147070.382097,"Lepilemur hollandorum"
"4519","16971518",1988843593.36916,"Lepilemur scottorum"
"4520","16971566",1988843593.36916,"Avahi mooreorum"
"4521","16981",1317147161561.37,"Philetor brachypterus"
"4526","17003",19097579773.399,"Phloeomys cumingi"
"4529","17004",43063292787.6714,"Phloeomys pallidus"
"4530","17035",2049647452481.16,"Phodopus campbelli"
"4531","17036",3142157240995.82,"Phodopus roborovskii"
"4532","17037",1181968038409.83,"Phodopus sungorus"
"4533","17168",10972630635887.7,"Phylloderma stenops"
"4534","17173",215185973.097491,"Phyllonycteris aphylla"
"4535","17175",182992967400.347,"Phyllonycteris poeyi"
"4538","17176",181362688678.638,"Phyllops falcatus"
"4541","17216",12498386824438.1,"Phyllostomus discolor"
"4542","17217",10601026637946.1,"Phyllostomus elongatus"
"4543","17218",12629828573856.1,"Phyllostomus hastatus"
"4545","17219",1553255299888.03,"Phyllostomus latifolius"
"4546","17220",71787376173.1073,"Phyllotis amicus"
"4547","17221",124063140777.629,"Phyllotis andium"
"4548","17222",1804432640.08725,"Phyllotis bonariensis"
"4549","17223",42361050669.2139,"Phyllotis caprinus"
"4550","17224",130478736270.486,"Phyllotis darwini"
"4551","17225",4834426449.93938,"Phyllotis definitus"
"4552","17226",33728372191.8651,"Phyllotis gerbillus"
"4553","17227",34812809277.7601,"Phyllotis haggardi"
"4554","17228",58907979978.7948,"Phyllotis magister"
"4555","17229",5305639278.06837,"Phyllotis osgoodi"
"4556","17230",309678554726.07,"Phyllotis osilae"
"4557","17231",83243935658.9844,"Phyllotis wolffsohni"
"4558","17232",1499342022863.53,"Phyllotis xanthopygus"
"4559","17314",10905311190423.4,"Pipistrellus kuhlii"
"4573","17315",4798140797.5661,"Pipistrellus maderensis"
"4584","17316",5890487653982.08,"Pipistrellus nathusii"
"4597","17317",11497401460226,"Pipistrellus pipistrellus"
"4598","17320",3842252427963.03,"Pipistrellus abramus"
"4616","17321",277615884124.997,"Pipistrellus adamsi"
"4618","17323",1243065587.82523,"Pipistrellus aero"
"4620","17324",352717551891.355,"Falsistrellus affinis"
"4621","17326",344529746562.875,"Pipistrellus angulatus"
"4642","17327",47225413.6749042,"Hypsugo anthonyi"
"4643","17328",18907808492.1921,"Pipistrellus arabicus"
"4644","17331",513196504923.981,"Pipistrellus cadornae"
"4645","17332",2290092648156.21,"Pipistrellus ceylonicus"
"4648","17334",201164870251.144,"Pipistrellus collinus"
"4650","17335",3655673460206.37,"Pipistrellus coromandra"
"4651","17338",1579642389231.4,"Scotozous dormeri"
"4652","17340",13867101852.6545,"Pipistrellus endoi"
"4655","17341",2655906165457.68,"Pipistrellus hesperus"
"4656","17342",219247732609.189,"Pipistrellus imbricatus"
"4663","17343",696339787409.584,"Pipistrellus inexspectatus"
"4664","17344",3707997290284.58,"Pipistrellus javanicus"
"4680","17345",4013744139.88041,"Hypsugo joffrei"
"4681","17346",37527236504.9593,"Hypsugo kitcheneri"
"4682","17347",2684504.9243653,"Hypsugo lophurus"
"4683","17348",24587237064.8416,"Falsistrellus mackenziei"
"4684","17349",51700541926.2515,"Hypsugo macrotis"
"4685","17350",41880537.6532617,"Pipistrellus minahassae"
"4686","17351",126420496690.399,"Falsistrellus mordax"
"4688","17353",1565038994058.76,"Pipistrellus nanulus"
"4689","17355",398165058983.954,"Pipistrellus papuanus"
"4703","17356",782192083345.849,"Pipistrellus paterculus"
"4704","17358",126752943.017581,"Pipistrellus permixtus"
"4705","17359",28175725023.438,"Falsistrellus petersi"
"4711","17360",2653163505416.76,"Pipistrellus pulveratus"
"4714","17361",2970229500738.16,"Pipistrellus rueppellii"
"4717","17362",3459620466963.9,"Pipistrellus rusticus"
"4718","17364",640597800775.871,"Pipistrellus stenopterus"
"4723","17366",4264005661425.8,"Pipistrellus subflavus"
"4724","17367",386354106635.091,"Falsistrellus tasmaniensis"
"4726","17368",7849685411612.3,"Pipistrellus tenuis"
"4746","17369",14693098921.5094,"Pipistrellus wattsi"
"4747","17370",189808929881.334,"Pipistrellus westralis"
"4753","17400",132569704.735909,"Pithecheir melanurus"
"4754","17401",101819050855.151,"Pithecheir parvus"
"4755","17402",125096986782.94,"Pithecia aequatorialis"
"4756","17460",10576599439.6944,"Plagiodontia aedium"
"4758","17474",30188899498.4339,"Planigale novaeguineae"
"4759","17481",28208761259.9293,"Platacanthomys lasiurus"
"4760","17487",300140500369.801,"Platalina genovensium"
"4761","17565",5807570762889.83,"Platyrrhinus lineatus"
"4762","17566",349895004028.977,"Platyrrhinus aurarius"
"4763","17567",6159441369790.19,"Platyrrhinus brachycephalus"
